,Sr No.,"Date of
Encashment",Name of the Political Party,"Account no. of
Political Party",Prefix,"Bond
Number",Denominations,"Pay Branch
Code",Pay Teller
24,2578,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,2349,1000000,691,3300196
25,2579,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,2346,1000000,691,3300196
26,2580,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11560,1000000,691,3300196
27,2581,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11559,1000000,691,3300196
28,2582,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11564,1000000,691,3300196
29,2583,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11563,1000000,691,3300196
30,2584,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11561,1000000,691,3300196
31,2585,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11573,1000000,691,3300196
32,2586,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11571,1000000,691,3300196
33,2587,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11570,1000000,691,3300196
34,2588,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11569,1000000,691,3300196
35,2589,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11574,1000000,691,3300196
36,2590,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11572,1000000,691,3300196
0,2591,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11577,1000000,691,3300196
1,2592,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11578,1000000,691,3300196
2,2593,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11575,1000000,691,3300196
3,2594,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11576,1000000,691,3300196
4,2595,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11583,1000000,691,3300196
5,2596,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11580,1000000,691,3300196
6,2597,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11584,1000000,691,3300196
7,2598,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11581,1000000,691,3300196
8,2599,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11579,1000000,691,3300196
9,2600,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,10957,1000000,691,3300196
10,2601,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,10960,1000000,691,3300196
11,2602,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,10959,1000000,691,3300196
12,2603,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,10938,1000000,691,3300196
13,2604,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,10958,1000000,691,3300196
14,2605,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12634,1000000,691,3300196
15,2606,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12630,1000000,691,3300196
16,2607,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12632,1000000,691,3300196
17,2608,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12635,1000000,691,3300196
18,2609,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12636,1000000,691,3300196
19,2610,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11502,1000000,691,3300196
20,2611,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11503,1000000,691,3300196
21,2612,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11504,1000000,691,3300196
22,2613,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11509,1000000,691,3300196
23,2614,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,11505,1000000,691,3300196
24,2615,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12615,1000000,691,3300196
25,2616,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12646,1000000,691,3300196
26,2617,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12643,1000000,691,3300196
27,2618,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12633,1000000,691,3300196
28,2619,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12644,1000000,691,3300196
29,2620,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12645,1000000,691,3300196
30,2621,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12647,1000000,691,3300196
31,2622,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12702,1000000,691,3300196
32,2623,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12708,1000000,691,3300196
33,2624,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12707,1000000,691,3300196
34,2625,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12705,1000000,691,3300196
35,2626,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12650,1000000,691,3300196
36,2627,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12703,1000000,691,3300196
0,2628,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12704,1000000,691,3300196
1,2629,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12706,1000000,691,3300196
2,2630,2019-04-23,BHARATIYA JANATA PARTY,*******8244,TL,12701,1000000,691,3300196
3,2631,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,2151,100000,691,4567455
4,2632,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,2153,100000,691,4567455
5,2633,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,2159,100000,691,4567455
6,2634,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,2169,100000,691,4567455
7,2635,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,2161,100000,691,4567455
8,2636,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,2157,100000,691,4567455
9,2637,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,2163,100000,691,4567455
10,2638,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,2165,100000,691,4567455
11,2639,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,2167,100000,691,4567455
12,2640,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,2155,100000,691,4567455
13,2641,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1091,100000,691,3300196
14,2642,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1098,100000,691,3300196
15,2643,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1094,100000,691,3300196
16,2644,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1084,100000,691,3300196
17,2645,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1097,100000,691,3300196
18,2646,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1093,100000,691,3300196
19,2647,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1090,100000,691,3300196
20,2648,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1095,100000,691,3300196
21,2649,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1092,100000,691,3300196
22,2650,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1099,100000,691,3300196
23,2651,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3175,100000,691,3300196
24,2652,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3178,100000,691,3300196
25,2653,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3174,100000,691,3300196
26,2654,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3173,100000,691,3300196
27,2655,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3156,100000,691,3300196
28,2656,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3157,100000,691,3300196
29,2657,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3155,100000,691,3300196
30,2658,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3140,100000,691,3300196
31,2659,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3139,100000,691,3300196
32,2660,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3151,100000,691,3300196
33,2661,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3160,100000,691,3300196
34,2662,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3152,100000,691,3300196
35,2663,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3158,100000,691,3300196
36,2664,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3154,100000,691,3300196
0,2665,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3172,100000,691,3300196
1,2666,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3177,100000,691,3300196
2,2667,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3159,100000,691,3300196
3,2668,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3171,100000,691,3300196
4,2669,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3153,100000,691,3300196
5,2670,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3176,100000,691,3300196
6,2671,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1102,100000,691,3300196
7,2672,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1105,100000,691,3300196
8,2673,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1096,100000,691,3300196
9,2674,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1103,100000,691,3300196
10,2675,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1101,100000,691,3300196
11,2676,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1104,100000,691,3300196
12,2677,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1107,100000,691,3300196
13,2678,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1109,100000,691,3300196
14,2679,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1100,100000,691,3300196
15,2680,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,1108,100000,691,3300196
16,2681,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,10046,100000,691,3300196
17,2682,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,10040,100000,691,3300196
18,2683,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,10042,100000,691,3300196
19,2684,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,10044,100000,691,3300196
20,2685,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,10048,100000,691,3300196
21,2686,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,10036,100000,691,3300196
22,2687,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,10032,100000,691,3300196
23,2688,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,10038,100000,691,3300196
24,2689,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,10034,100000,691,3300196
25,2690,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,10030,100000,691,3300196
26,2691,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3180,100000,691,3300196
27,2692,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3183,100000,691,3300196
28,2693,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3181,100000,691,3300196
29,2694,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3182,100000,691,3300196
30,2695,2019-04-23,BHARATIYA JANATA PARTY,*******8244,OL,3184,100000,691,3300196
31,2696,2019-04-23,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,OC,7127,10000000,800,2770121
32,2697,2019-04-23,DRAVIDA MUNNETRA KAZHAGAM (DMK),*******8935,OC,7125,10000000,800,2770121
33,2698,2019-04-23,JHARKHAND MUKTI MORCHA,*******5076,TL,12891,1000000,167,3777278
34,2699,2019-04-23,JHARKHAND MUKTI MORCHA,*******5076,TL,12897,1000000,167,3777278
35,2700,2019-04-23,JHARKHAND MUKTI MORCHA,*******5076,TL,12893,1000000,167,3777278
36,2701,2019-04-23,JHARKHAND MUKTI MORCHA,*******5076,TL,12889,1000000,167,3777278
0,2702,2019-04-23,JHARKHAND MUKTI MORCHA,*******5076,TL,12895,1000000,167,3777278
1,2703,2019-04-23,JHARKHAND MUKTI MORCHA,*******5076,TL,12843,1000000,167,3777278
2,2704,2019-04-23,JHARKHAND MUKTI MORCHA,*******5076,TL,12839,1000000,167,3777278
3,2705,2019-04-23,JHARKHAND MUKTI MORCHA,*******5076,TL,12837,1000000,167,3777278
4,2706,2019-04-23,JHARKHAND MUKTI MORCHA,*******5076,TL,12841,1000000,167,3777278
5,2707,2019-04-23,JHARKHAND MUKTI MORCHA,*******5076,TL,12835,1000000,167,3777278
6,2708,2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,7154,10000000,691,3300196
7,2709,2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,7152,10000000,691,3300196
8,2710,2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,2731,10000000,691,3300196
9,2711,2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,2729,10000000,691,3300196
10,2712,2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,2733,10000000,691,3300196
11,2713,2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,6456,10000000,691,3300196
12,2714,2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,6457,10000000,691,3300196
13,2715,2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,11510,1000000,691,3300196
14,2716,2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,11511,1000000,691,3300196
15,2717,2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,11508,1000000,691,3300196
16,2718,2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,11506,1000000,691,3300196
17,2719,2019-04-23,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,11512,1000000,691,3300196
18,2720,2019-04-23,SHIVSENA,*******4444,OC,6668,10000000,300,6283527
19,2721,2019-04-23,SHIVSENA,*******4444,OC,7138,10000000,300,6283527
20,2722,2019-04-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,TL,13001,1000000,691,3300196
21,2723,2019-04-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OL,23632,100000,691,3300196
22,2724,2019-04-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OL,23623,100000,691,3300196
23,2725,2019-04-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OL,23634,100000,691,3300196
24,2726,2019-04-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OL,23619,100000,691,3300196
25,2727,2019-04-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OL,23636,100000,691,3300196
26,2728,2019-04-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OL,23630,100000,691,3300196
27,2729,2019-04-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OL,23621,100000,691,3300196
28,2730,2019-04-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OL,23627,100000,691,3300196
29,2731,2019-04-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OL,23625,100000,691,3300196
30,2732,2019-04-24,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OL,23628,100000,691,3300196
31,2733,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,11566,1000000,152,6824692
32,2734,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,11562,1000000,152,6824692
33,2735,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,11567,1000000,152,6824692
34,2736,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,11565,1000000,152,6824692
35,2737,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,11568,1000000,152,6824692
36,2738,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,12667,1000000,152,6824692
0,2739,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,12661,1000000,152,6824692
1,2740,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,12664,1000000,152,6824692
2,2741,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,12665,1000000,152,6824692
3,2742,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,12662,1000000,152,6824692
4,2743,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,12663,1000000,152,6824692
5,2744,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,12666,1000000,152,6824692
6,2745,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,12668,1000000,152,6824692
7,2746,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,12669,1000000,152,6824692
8,2747,2019-04-24,RASHTRIYA JANTA DAL,*******2758,TL,12680,1000000,152,6824692
9,2748,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OC,6276,10000000,691,3300196
10,2749,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OC,6226,10000000,691,3300196
11,2750,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OC,6277,10000000,691,3300196
12,2751,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OC,6240,10000000,691,3300196
13,2752,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OC,2727,10000000,691,3300196
14,2753,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OC,2721,10000000,691,3300196
15,2754,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OC,2725,10000000,691,3300196
16,2755,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OC,2723,10000000,691,3300196
17,2756,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,11429,1000000,691,3300196
18,2757,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,11421,1000000,691,3300196
19,2758,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,11433,1000000,691,3300196
20,2759,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,11435,1000000,691,3300196
21,2760,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,11431,1000000,691,3300196
22,2761,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,11430,1000000,691,3300196
23,2762,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,11434,1000000,691,3300196
24,2763,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,11428,1000000,691,3300196
25,2764,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,11427,1000000,691,3300196
26,2765,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,11436,1000000,691,3300196
27,2766,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,11448,1000000,691,3300196
28,2767,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,11447,1000000,691,3300196
29,2768,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,11441,1000000,691,3300196
30,2769,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,3410,1000000,691,3300196
31,2770,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,3407,1000000,691,3300196
32,2771,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,3412,1000000,691,3300196
33,2772,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10940,1000000,691,3300196
34,2773,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10964,1000000,691,3300196
35,2774,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10963,1000000,691,3300196
36,2775,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10981,1000000,691,3300196
0,2776,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10939,1000000,691,3300196
1,2777,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10967,1000000,691,3300196
2,2778,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10947,1000000,691,3300196
3,2779,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10965,1000000,691,3300196
4,2780,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10962,1000000,691,3300196
5,2781,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10946,1000000,691,3300196
6,2782,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10980,1000000,691,3300196
7,2783,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10943,1000000,691,3300196
8,2784,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10970,1000000,691,3300196
9,2785,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10961,1000000,691,3300196
10,2786,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10985,1000000,691,3300196
11,2787,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10944,1000000,691,3300196
12,2788,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10949,1000000,691,3300196
13,2789,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10941,1000000,691,3300196
14,2790,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10942,1000000,691,3300196
15,2791,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10950,1000000,691,3300196
16,2792,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10966,1000000,691,3300196
17,2793,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10969,1000000,691,3300196
18,2794,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10984,1000000,691,3300196
19,2795,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10968,1000000,691,3300196
20,2796,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10982,1000000,691,3300196
21,2797,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10945,1000000,691,3300196
22,2798,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10987,1000000,691,3300196
23,2799,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10986,1000000,691,3300196
24,2800,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10983,1000000,691,3300196
25,2801,2019-04-25,BHARATIYA JANATA PARTY,*******8244,TL,10948,1000000,691,3300196
26,2802,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,103,100000,691,3300196
27,2803,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,154,100000,691,3300196
28,2804,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,115,100000,691,3300196
29,2805,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,168,100000,691,3300196
30,2806,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,127,100000,691,3300196
31,2807,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,1113,100000,691,3300196
32,2808,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,1118,100000,691,3300196
33,2809,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,1112,100000,691,3300196
34,2810,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,1115,100000,691,3300196
35,2811,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,1119,100000,691,3300196
36,2812,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,1110,100000,691,3300196
0,2813,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,1111,100000,691,3300196
1,2814,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,1106,100000,691,3300196
2,2815,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,1114,100000,691,3300196
3,2816,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,1117,100000,691,3300196
4,2817,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13886,100000,691,3300196
5,2818,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13882,100000,691,3300196
6,2819,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13884,100000,691,3300196
7,2820,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13888,100000,691,3300196
8,2821,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13890,100000,691,3300196
9,2822,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13883,100000,691,3300196
10,2823,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13881,100000,691,3300196
11,2824,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13889,100000,691,3300196
12,2825,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13887,100000,691,3300196
13,2826,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13885,100000,691,3300196
14,2827,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28554,100000,691,3300196
15,2828,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28542,100000,691,3300196
16,2829,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28560,100000,691,3300196
17,2830,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28548,100000,691,3300196
18,2831,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28540,100000,691,3300196
19,2832,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28546,100000,691,3300196
20,2833,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28528,100000,691,3300196
21,2834,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28530,100000,691,3300196
22,2835,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28558,100000,691,3300196
23,2836,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28534,100000,691,3300196
24,2837,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28552,100000,691,3300196
25,2838,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28524,100000,691,3300196
26,2839,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28526,100000,691,3300196
27,2840,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28538,100000,691,3300196
28,2841,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28522,100000,691,3300196
29,2842,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28532,100000,691,3300196
30,2843,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28544,100000,691,3300196
31,2844,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28556,100000,691,3300196
32,2845,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28536,100000,691,3300196
33,2846,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,28550,100000,691,3300196
34,2847,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13897,100000,691,3300196
35,2848,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13899,100000,691,3300196
36,2849,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13893,100000,691,3300196
0,2850,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13895,100000,691,3300196
1,2851,2019-04-25,BHARATIYA JANATA PARTY,*******8244,OL,13891,100000,691,3300196
2,2852,2019-04-25,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,1358,10000000,691,3300196
3,2853,2019-04-25,"PRESIDENT, ALL INDIA CONGRESS COMMITTEE",*******4012,OC,1359,10000000,691,3300196
4,2854,2019-04-25,SHIVSENA,*******4444,OL,2142,100000,300,6283527
5,2855,2019-04-25,SHIVSENA,*******4444,OL,2144,100000,300,6283527
6,2856,2019-04-25,SHIVSENA,*******4444,OL,2146,100000,300,6283527
